broker,ops,flips,bought,dumped,stocks,updated
?亞,60,9,14083.4,43.2,"[""1303"", ""1504"", ""1513"", ""2059"", ""2313"", ""2317"", ""2327"", ""2330"", ""2344"", ""2351"", ""2395"", ""2404"", ""2408"", ""2454"", ""2455"", ""2492"", ""2883"", ""3026"", ""3037"", ""3042"", ""3189"", ""3532"", ""3653"", ""3665"", ""3711"", ""4958"", ""6139"", ""6442"", ""6669"", ""6805"", ""8039"", ""8046"", ""8454"", ""8996""]",2026-09-25
?亞網路,18,11,883.3,496.6,"[""1108"", ""1503"", ""1612"", ""2031"", ""2305"", ""2359"", ""2387"", ""2388"", ""2481"", ""2739"", ""3543"", ""6166"", ""6525"", ""6834"", ""7795""]",2026-09-25
?亞鑫豐,55,25,7522.8,1324.2,"[""1301"", ""1423"", ""1503"", ""1513"", ""1526"", ""1608"", ""1612"", ""1709"", ""1718"", ""2010"", ""2025"", ""2031"", ""2103"", ""2241"", ""2301"", ""2324"", ""2344"", ""2357"", ""2360"", ""2408"", ""2449"", ""2478"", ""2484"", ""2496"", ""2634"", ""2645"", ""3042"", ""3413"", ""3481"", ""3661"", ""3669"", ""3679"", ""3716"", ""6152"", ""6226"", ""6282"", ""6446"", ""6672"", ""6863"", ""7711"", ""7795"", ""8110"", ""8454"", ""9904"", ""9914""]",2026-09-25
上海匯豐,412,133,133881.3,14579.1,"[""1301"", ""1303"", ""1326"", ""1514"", ""1560"", ""1809"", ""1815"", ""2010"", ""2031"", ""2059"", ""2069"", ""2103"", ""2254"", ""2301"", ""2303"", ""2305"", ""2308"", ""2313"", ""2317"", ""2324"", ""2327"", ""2330"", ""2337"", ""2342"", ""2344"", ""2347"", ""2351"", ""2353"", ""2357"", ""2360"", ""2368"", ""2369"", ""2376"", ""2379"", ""2382"", ""2395"", ""2404"", ""2408"", ""2409"", ""2413"", ""2436"", ""2449"", ""2454"", ""2455"", ""2465"", ""2492"", ""2546"", ""2603"", ""2633"", ""2723"", ""2816"", ""2880"", ""2883"", ""2884"", ""2886"", ""2887"", ""2890"", ""2891"", ""3008"", ""3017"", ""3023"", ""3026"", ""3037"", ""3042"", ""3044"", ""3081"", ""3090"", ""3105"", ""3141"", ""3152"", ""3189"", ""3211"", ""3227"", ""3231"", ""3260"", ""3264"", ""3293"", ""3324"", ""3356"", ""3406"", ""3443"", ""3450"", ""3481"", ""3504"", ""3529"", ""3605"", ""3653"", ""3661"", ""3665"", ""3707"", ""3708"", ""3711"", ""4908"", ""4958"", ""4979"", ""5274"", ""5289"", ""5291"", ""5347"", ""5351"", ""5475"", ""5483"", ""5515"", ""5519"", ""6121"", ""6139"", ""6147"", ""6166"", ""6173"", ""6182"", ""6187"", ""6213"", ""6231"", ""6271"", ""6274"", ""6278"", ""6279"", ""6409"", ""6442"", ""6488"", ""6505"", ""6510"", ""6531"", ""6533"", ""6589"", ""6643"", ""6669"", ""6770"", ""6782"", ""6805"", ""7749"", ""7769"", ""8021"", ""8028"", ""8042"", ""8043"", ""8046"", ""8054"", ""8064"", ""8069"", ""8070"", ""8150"", ""8358"", ""8996"", ""9904"", ""9914"", ""9941"", ""9945""]",2026-09-25
中信三重,52,24,2619.3,524.1,"[""1409"", ""1727"", ""2103"", ""2254"", ""2317"", ""2338"", ""2413"", ""2464"", ""2465"", ""2481"", ""2484"", ""2492"", ""2890"", ""2923"", ""3094"", ""3167"", ""3450"", ""3532"", ""3543"", ""4133"", ""4169"", ""4989"", ""5515"", ""6139"", ""6152"", ""6209"", ""6213"", ""6224"", ""6226"", ""6282"", ""6668"", ""6669"", ""6672"", ""6706"", ""6715"", ""6834"", ""7610"", ""7769"", ""7795"", ""8021"", ""8070""]",2026-09-25
中信中壢,56,25,2032.0,885.3,"[""1409"", ""1526"", ""2010"", ""2020"", ""2254"", ""2360"", ""2368"", ""2395"", ""2413"", ""2444"", ""2455"", ""2489"", ""2492"", ""2493"", ""2546"", ""2615"", ""2883"", ""3016"", ""3026"", ""3189"", ""3229"", ""3311"", ""3605"", ""4764"", ""5484"", ""5522"", ""6005"", ""6112"", ""6152"", ""6168"", ""6213"", ""6226"", ""6278"", ""6668"", ""6861"", ""6906"", ""7722"", ""7769"", ""8046"", ""8070"", ""9904"", ""9945""]",2026-09-25
中信嘉義,36,12,3440.4,534.3,"[""1612"", ""2031"", ""2332"", ""2359"", ""2387"", ""2409"", ""2489"", ""2542"", ""2739"", ""3229"", ""3356"", ""3605"", ""3652"", ""3717"", ""4989"", ""5225"", ""5484"", ""5522"", ""6206"", ""6225"", ""6226"", ""6272"", ""6589"", ""6969"", ""9904""]",2026-09-25
中信松江,47,16,22733.5,8108.1,"[""1528"", ""1605"", ""1713"", ""2301"", ""2313"", ""2327"", ""2332"", ""2338"", ""2344"", ""2404"", ""2409"", ""2421"", ""2489"", ""2546"", ""3026"", ""3037"", ""3481"", ""3533"", ""3715"", ""5292"", ""5484"", ""6209"", ""6225"", ""6226"", ""6409"", ""6589"", ""6869"", ""6924"", ""7765"", ""8028"", ""8150"", ""8996"", ""9945""]",2026-09-25
中信託三重,53,23,1882.9,404.9,"[""2221"", ""3066"", ""3081"", ""3141"", ""3162"", ""3234"", ""3374"", ""3441"", ""3664"", ""3693"", ""4542"", ""4908"", ""4931"", ""4971"", ""4973"", ""5202"", ""5289"", ""5386"", ""5425"", ""5475"", ""5904"", ""6179"", ""6187"", ""6218"", ""6231"", ""6279"", ""6488"", ""6588"", ""6640"", ""6727"", ""6739"", ""7717"", ""7751"", ""7842"", ""8050"", ""8096"", ""8358""]",2026-09-25
中信託中壢,40,15,1446.5,548.2,"[""1785"", ""1815"", ""2070"", ""3105"", ""3163"", ""3264"", ""3297"", ""3441"", ""3520"", ""3529"", ""3564"", ""3624"", ""3693"", ""4542"", ""4577"", ""4931"", ""4973"", ""5328"", ""5450"", ""5483"", ""6173"", ""6187"", ""6207"", ""6274"", ""6290"", ""6547"", ""6584"", ""6590"", ""8043""]",2026-09-25
